LAST SEEN   TYPE      REASON                  OBJECT                                               MESSAGE
10m         Normal    Created                 pod/loki-gateway-7bfcb9fd97-v9ln5                    Created container: opa
10m         Normal    Started                 pod/loki-gateway-7bfcb9fd97-v9ln5                    Started container opa
10m         Normal    Started                 pod/loki-gateway-7bfcb9fd97-bl2lp                    Started container opa
10m         Normal    Created                 pod/loki-gateway-7bfcb9fd97-bl2lp                    Created container: opa
9m58s       Warning   Unhealthy               pod/loki-ingester-0                                  Readiness probe failed: HTTP probe failed with statuscode: 503
6m28s       Normal    SuccessfulCreate        daemonset/flowlogs-pipeline                          Created pod: flowlogs-pipeline-7zr98
6m28s       Normal    SuccessfulCreate        daemonset/flowlogs-pipeline                          Created pod: flowlogs-pipeline-7nmpm
6m28s       Normal    SuccessfulCreate        daemonset/flowlogs-pipeline                          Created pod: flowlogs-pipeline-wctvl
6m27s       Normal    Pulling                 pod/flowlogs-pipeline-7nmpm                          Pulling image "registry.redhat.io/network-observability/network-observability-flowlogs-pipeline-rhel9@sha256:509b3bc24be91eaa46e5bd1fc4acf242e4580ce3a238319a4ab46ba3a8c48ac6"
6m27s       Normal    AddedInterface          pod/flowlogs-pipeline-7nmpm                          Add eth0 [10.128.1.67/23] from ovn-kubernetes
6m25s       Normal    AddedInterface          pod/flowlogs-pipeline-wctvl                          Add eth0 [10.130.0.223/23] from ovn-kubernetes
6m23s       Normal    Pulling                 pod/flowlogs-pipeline-wctvl                          Pulling image "registry.redhat.io/network-observability/network-observability-flowlogs-pipeline-rhel9@sha256:509b3bc24be91eaa46e5bd1fc4acf242e4580ce3a238319a4ab46ba3a8c48ac6"
6m21s       Normal    Pulled                  pod/flowlogs-pipeline-7nmpm                          Successfully pulled image "registry.redhat.io/network-observability/network-observability-flowlogs-pipeline-rhel9@sha256:509b3bc24be91eaa46e5bd1fc4acf242e4580ce3a238319a4ab46ba3a8c48ac6" in 5.975s (5.975s including waiting). Image size: 204118269 bytes.
6m19s       Normal    ScalingReplicaSet       deployment/netobserv-plugin                          Scaled up replica set netobserv-plugin-698cb544d5 from 0 to 1
6m18s       Normal    SuccessfulCreate        replicaset/netobserv-plugin-698cb544d5               Created pod: netobserv-plugin-698cb544d5-47hkz
6m8s        Warning   FailedMount             pod/netobserv-plugin-698cb544d5-47hkz                MountVolume.SetUp failed for volume "netobserv-plugin-cert" : secret "netobserv-plugin-cert" not found
6m1s        Normal    Pulled                  pod/flowlogs-pipeline-wctvl                          Successfully pulled image "registry.redhat.io/network-observability/network-observability-flowlogs-pipeline-rhel9@sha256:509b3bc24be91eaa46e5bd1fc4acf242e4580ce3a238319a4ab46ba3a8c48ac6" in 22.252s (22.252s including waiting). Image size: 204118269 bytes.
5m58s       Normal    AddedInterface          pod/netobserv-plugin-698cb544d5-47hkz                Add eth0 [10.130.0.226/23] from ovn-kubernetes
5m56s       Normal    Pulling                 pod/netobserv-plugin-698cb544d5-47hkz                Pulling image "registry.redhat.io/network-observability/network-observability-console-plugin-pf5-rhel9@sha256:d6a564af308c293270d8fead446e236798f27bd0b9cf5130e2616fdac86b9e21"
5m55s       Warning   BackOff                 pod/flowlogs-pipeline-wctvl                          Back-off restarting failed container flowlogs-pipeline in pod flowlogs-pipeline-wctvl_netobserv(02072411-fdd5-49a4-a022-061a0df86d3d)
5m46s       Warning   BackOff                 pod/flowlogs-pipeline-7nmpm                          Back-off restarting failed container flowlogs-pipeline in pod flowlogs-pipeline-7nmpm_netobserv(796614e9-0f41-4b08-8f49-e79a0d9e9796)
5m36s       Normal    Pulled                  pod/netobserv-plugin-698cb544d5-47hkz                Successfully pulled image "registry.redhat.io/network-observability/network-observability-console-plugin-pf5-rhel9@sha256:d6a564af308c293270d8fead446e236798f27bd0b9cf5130e2616fdac86b9e21" in 20.539s (20.539s including waiting). Image size: 240232128 bytes.
5m36s       Normal    Pulled                  pod/flowlogs-pipeline-wctvl                          Container image "registry.redhat.io/network-observability/network-observability-flowlogs-pipeline-rhel9@sha256:509b3bc24be91eaa46e5bd1fc4acf242e4580ce3a238319a4ab46ba3a8c48ac6" already present on machine
5m35s       Normal    Created                 pod/flowlogs-pipeline-wctvl                          Created container: flowlogs-pipeline
5m34s       Normal    Started                 pod/flowlogs-pipeline-wctvl                          Started container flowlogs-pipeline
5m34s       Normal    Created                 pod/netobserv-plugin-698cb544d5-47hkz                Created container: netobserv-plugin
5m34s       Normal    Started                 pod/netobserv-plugin-698cb544d5-47hkz                Started container netobserv-plugin
5m33s       Normal    Pulled                  pod/flowlogs-pipeline-7nmpm                          Container image "registry.redhat.io/network-observability/network-observability-flowlogs-pipeline-rhel9@sha256:509b3bc24be91eaa46e5bd1fc4acf242e4580ce3a238319a4ab46ba3a8c48ac6" already present on machine
5m33s       Normal    Created                 pod/flowlogs-pipeline-7nmpm                          Created container: flowlogs-pipeline
5m33s       Normal    Started                 pod/flowlogs-pipeline-7nmpm                          Started container flowlogs-pipeline
3m31s       Normal    SuccessfulCreate        replicaset/netobserv-plugin-6c7d467565               Created pod: netobserv-plugin-6c7d467565-qx66p
3m31s       Normal    ScalingReplicaSet       deployment/netobserv-plugin                          Scaled up replica set netobserv-plugin-6c7d467565 from 0 to 1
3m30s       Normal    ScalingReplicaSet       deployment/netobserv-plugin                          Scaled down replica set netobserv-plugin-6c7d467565 from 1 to 0
3m29s       Normal    Pulling                 pod/netobserv-plugin-6c7d467565-qx66p                Pulling image "registry.redhat.io/network-observability/network-observability-console-plugin-pf4-rhel9@sha256:e1f84c247b95b9dd63a564ace4ff85b97efe1055991d763ad606a249dc59804d"
3m29s       Normal    AddedInterface          pod/netobserv-plugin-6c7d467565-qx66p                Add eth0 [10.130.0.227/23] from ovn-kubernetes
3m29s       Normal    SuccessfulDelete        replicaset/netobserv-plugin-6c7d467565               Deleted pod: netobserv-plugin-6c7d467565-qx66p
3m1s        Normal    Pulled                  pod/netobserv-plugin-6c7d467565-qx66p                Successfully pulled image "registry.redhat.io/network-observability/network-observability-console-plugin-pf4-rhel9@sha256:e1f84c247b95b9dd63a564ace4ff85b97efe1055991d763ad606a249dc59804d" in 27.28s (27.28s including waiting). Image size: 193814214 bytes.
3m1s        Normal    Created                 pod/netobserv-plugin-6c7d467565-qx66p                Created container: netobserv-plugin
3m          Normal    Started                 pod/netobserv-plugin-6c7d467565-qx66p                Started container netobserv-plugin
3m          Normal    Killing                 pod/netobserv-plugin-6c7d467565-qx66p                Stopping container netobserv-plugin
